id,split
llama-Enjoyment-0000,train
llama-Enjoyment-0001,test
llama-Enjoyment-0002,train
llama-Enjoyment-0003,test
llama-Enjoyment-0004,train
llama-Enjoyment-0005,train
llama-Enjoyment-0006,train
llama-Enjoyment-0007,validation
llama-Enjoyment-0008,test
llama-Enjoyment-0009,train
llama-Enjoyment-0010,train
llama-Enjoyment-0011,train
llama-Enjoyment-0012,train
llama-Enjoyment-0013,test
llama-Enjoyment-0014,test
llama-Enjoyment-0015,train
llama-Enjoyment-0016,train
llama-Enjoyment-0017,test
llama-Enjoyment-0018,train
llama-Enjoyment-0019,train
llama-Enjoyment-0020,test
llama-Enjoyment-0021,validation
llama-Enjoyment-0022,train
llama-Enjoyment-0023,train
llama-Enjoyment-0024,train
llama-Enjoyment-0025,train
llama-Enjoyment-0027,train
llama-Enjoyment-0028,train
llama-Enjoyment-0029,train
llama-Enjoyment-0030,train
llama-Enjoyment-0031,train
llama-Enjoyment-0032,train
llama-Enjoyment-0033,train
llama-Enjoyment-0034,train
llama-Enjoyment-0035,test
llama-Enjoyment-0036,train
llama-Enjoyment-0037,train
llama-Enjoyment-0038,validation
llama-Enjoyment-0039,train
llama-Enjoyment-0040,train
llama-Enjoyment-0041,train
llama-Enjoyment-0042,train
llama-Enjoyment-0043,train
llama-Enjoyment-0044,train
llama-Enjoyment-0045,train
llama-Enjoyment-0046,train
llama-Enjoyment-0048,train
llama-Enjoyment-0049,train
llama-Enjoyment-0050,test
llama-Enjoyment-0051,test
llama-Enjoyment-0052,validation
llama-Enjoyment-0053,train
llama-Enjoyment-0054,validation
llama-Enjoyment-0055,test
llama-Enjoyment-0056,validation
llama-Enjoyment-0057,train
llama-Enjoyment-0058,train
llama-Enjoyment-0059,test
llama-Enjoyment-0060,validation
llama-Enjoyment-0061,test
llama-Enjoyment-0062,train
llama-Enjoyment-0063,train
llama-Enjoyment-0064,train
llama-Enjoyment-0065,validation
llama-Enjoyment-0066,train
llama-Enjoyment-0067,train
llama-Enjoyment-0068,train
llama-Enjoyment-0069,train
llama-Enjoyment-0070,train
llama-Enjoyment-0071,train
llama-Enjoyment-0072,train
llama-Enjoyment-0073,train
llama-Enjoyment-0074,validation
llama-Enjoyment-0075,train
llama-Enjoyment-0076,test
llama-Enjoyment-0077,train
llama-Enjoyment-0078,train
llama-Enjoyment-0079,train
llama-Enjoyment-0080,train
llama-Enjoyment-0081,train
llama-Enjoyment-0082,validation
llama-Enjoyment-0083,train
llama-Enjoyment-0084,train
llama-Enjoyment-0085,validation
llama-Enjoyment-0086,train
llama-Enjoyment-0087,train
llama-Enjoyment-0088,train
llama-Enjoyment-0089,test
llama-Enjoyment-0090,validation
llama-Enjoyment-0091,test
llama-Enjoyment-0092,train
llama-Enjoyment-0093,test
llama-Enjoyment-0094,train
llama-Enjoyment-0095,train
llama-Enjoyment-0096,train
llama-Enjoyment-0097,train
llama-Enjoyment-0098,train
llama-Enjoyment-0099,train
llama-Enjoyment-0100,train
llama-Enjoyment-0101,validation
llama-Enjoyment-0102,train
llama-Enjoyment-0103,train
llama-Enjoyment-0104,test
llama-Enjoyment-0105,test
llama-Enjoyment-0107,train
llama-Enjoyment-0108,validation
llama-Enjoyment-0109,train
llama-Enjoyment-0110,test
llama-Enjoyment-0111,train
llama-Enjoyment-0112,train
llama-Enjoyment-0113,validation
llama-Enjoyment-0114,train
llama-Enjoyment-0115,train
llama-Enjoyment-0116,train
llama-Enjoyment-0117,train
llama-Enjoyment-0118,train
llama-Enjoyment-0119,validation
llama-Enjoyment-0120,train
llama-Enjoyment-0121,train
llama-Enjoyment-0122,train
llama-Enjoyment-0123,train
llama-Enjoyment-0124,test
llama-Enjoyment-0125,train
llama-Enjoyment-0126,train
llama-Enjoyment-0127,train
llama-Enjoyment-0128,train
llama-Enjoyment-0129,train
llama-Enjoyment-0130,train
llama-Enjoyment-0131,train
llama-Enjoyment-0132,validation
llama-Enjoyment-0133,validation
llama-Enjoyment-0134,test
llama-Enjoyment-0135,train
llama-Enjoyment-0136,test
llama-Enjoyment-0137,validation
llama-Enjoyment-0138,train
llama-Enjoyment-0140,train
llama-Enjoyment-0141,train
llama-Enjoyment-0142,train
llama-Enjoyment-0143,train
llama-Enjoyment-0144,train
llama-Enjoyment-0145,train
llama-Enjoyment-0146,train
llama-Enjoyment-0147,train
llama-Enjoyment-0148,train
llama-Enjoyment-0149,train
llama-Enjoyment-0150,train
llama-Enjoyment-0151,train
llama-Enjoyment-0152,train
llama-Enjoyment-0153,validation
llama-Enjoyment-0155,train
llama-Enjoyment-0156,test
llama-Enjoyment-0157,train
llama-Enjoyment-0158,train
llama-Enjoyment-0159,train
llama-Enjoyment-0160,train
llama-Enjoyment-0161,train
llama-Enjoyment-0162,validation
llama-Enjoyment-0163,validation
llama-Enjoyment-0164,train
llama-Enjoyment-0165,test
llama-Enjoyment-0166,train
llama-Enjoyment-0167,train
llama-Enjoyment-0168,train
llama-Enjoyment-0169,train
llama-Enjoyment-0170,train
llama-Enjoyment-0171,train
llama-Enjoyment-0172,train
llama-Enjoyment-0173,validation
llama-Enjoyment-0174,validation
llama-Enjoyment-0175,train
llama-Enjoyment-0176,train
llama-Enjoyment-0177,train
llama-Enjoyment-0178,test
llama-Enjoyment-0179,train
llama-Enjoyment-0180,train
llama-Enjoyment-0181,train
llama-Enjoyment-0182,test
llama-Enjoyment-0183,test
llama-Enjoyment-0184,train
llama-Enjoyment-0185,train
llama-Enjoyment-0186,train
llama-Enjoyment-0188,validation
llama-Enjoyment-0189,test
llama-Enjoyment-0190,train
llama-Enjoyment-0191,test
llama-Enjoyment-0192,train
llama-Enjoyment-0193,validation
llama-Enjoyment-0194,validation
llama-Enjoyment-0195,train
llama-Enjoyment-0196,validation
llama-Enjoyment-0197,train
llama-Enjoyment-0198,train
llama-Enjoyment-0199,train
llama-Sadness-0000,validation
llama-Sadness-0001,train
llama-Sadness-0002,train
llama-Sadness-0003,train
llama-Sadness-0004,train
llama-Sadness-0005,train
llama-Sadness-0006,train
llama-Sadness-0007,train
llama-Sadness-0008,train
llama-Sadness-0009,test
llama-Sadness-0010,train
llama-Sadness-0011,train
llama-Sadness-0012,validation
llama-Sadness-0013,train
llama-Sadness-0014,train
llama-Sadness-0015,validation
llama-Sadness-0016,train
llama-Sadness-0017,train
llama-Sadness-0018,test
llama-Sadness-0019,train
llama-Sadness-0020,train
llama-Sadness-0021,validation
llama-Sadness-0023,validation
llama-Sadness-0024,train
llama-Sadness-0025,train
llama-Sadness-0027,train
llama-Sadness-0028,train
llama-Sadness-0029,train
llama-Sadness-0030,validation
llama-Sadness-0031,train
llama-Sadness-0032,train
llama-Sadness-0033,train
llama-Sadness-0034,test
llama-Sadness-0035,test
llama-Sadness-0036,train
llama-Sadness-0037,train
llama-Sadness-0038,train
llama-Sadness-0039,train
llama-Sadness-0041,test
llama-Sadness-0042,train
llama-Sadness-0043,train
llama-Sadness-0044,train
llama-Sadness-0045,train
llama-Sadness-0046,train
llama-Sadness-0047,train
llama-Sadness-0048,train
llama-Sadness-0049,validation
llama-Sadness-0050,validation
llama-Sadness-0051,train
llama-Sadness-0052,train
llama-Sadness-0053,train
llama-Sadness-0054,validation
llama-Sadness-0055,train
llama-Sadness-0056,train
llama-Sadness-0057,test
llama-Sadness-0058,train
llama-Sadness-0059,train
llama-Sadness-0060,test
llama-Sadness-0061,train
llama-Sadness-0062,train
llama-Sadness-0063,train
llama-Sadness-0064,test
llama-Sadness-0065,test
llama-Sadness-0066,train
llama-Sadness-0067,train
llama-Sadness-0068,train
llama-Sadness-0069,train
llama-Sadness-0070,train
llama-Sadness-0071,test
llama-Sadness-0072,train
llama-Sadness-0073,train
llama-Sadness-0074,train
llama-Sadness-0075,train
llama-Sadness-0076,train
llama-Sadness-0077,train
llama-Sadness-0078,validation
llama-Sadness-0079,train
llama-Sadness-0080,train
llama-Sadness-0081,train
llama-Sadness-0082,train
llama-Sadness-0083,train
llama-Sadness-0084,train
llama-Sadness-0085,train
llama-Sadness-0086,train
llama-Sadness-0087,test
llama-Sadness-0088,validation
llama-Sadness-0089,train
llama-Sadness-0090,train
llama-Sadness-0091,validation
llama-Sadness-0092,test
llama-Sadness-0093,train
llama-Sadness-0094,test
llama-Sadness-0095,validation
llama-Sadness-0096,test
llama-Sadness-0097,train
llama-Sadness-0098,validation
llama-Sadness-0099,train
llama-Sadness-0100,train
llama-Sadness-0101,validation
llama-Sadness-0102,validation
llama-Sadness-0103,validation
llama-Sadness-0104,train
llama-Sadness-0105,train
llama-Sadness-0106,train
llama-Sadness-0107,train
llama-Sadness-0108,test
llama-Sadness-0109,train
llama-Sadness-0110,train
llama-Sadness-0111,train
llama-Sadness-0112,train
llama-Sadness-0113,train
