text,label
"Hôm_nay thật là tuyệt_vời ! Mình vừa đến thăm công_viên và được tận_hưởng một ngày đẹp trời . Không_khí mùa hè đang dần bắt_đầu và những đám mây trắng_tinh_khôi đang bay_lượn trên bầu_trời tạo nên một bức tranh tuyệt đẹp . Mình đi bộ cùng gia_đình đến khu_vực hoa , nơi những bông hoa sen đang nở_rộ , tạo nên một màu_sắc tuyệt đẹp và hương thơm nhẹ_nhàng quất vào mũi . Những đứa con nhỏ đang chơi_đùa và cười đùa , trong khi mẹ đang quây_quần cùng chúng . Mình thấy thật tuyệt khi nhìn thấy những khoảnh_khắc này , biết rằng mình đã tạo ra được một khoảng thời_gian_khó quên cho gia_đình mình . Sau đó , chúng_tôi cùng nhau ăn bánh_mì kẹp và uống nước_lọc , tận_hưởng cái nóng nhẹ_nhàng của mùa hè . Thật là một ngày tuyệt_vời và mình biết chắc_chắn sẽ không bao_giờ quên được nó .",0
"Tôi vẫn nhớ ngày anh ấy nói với tôi rằng anh ta yêu tôi . Tôi đã cố_gắng duy_trì sự bình_tĩnh nhưng cảm_giác hạnh_phúc và tự_tin đã ngập_tràn trong tôi . Khi anh ấy ôm tôi và nói "" Tôi biết là bạn là người đặc_biệt "" , tôi cảm_thấy như tất_cả những khó_khăn và lo_lắng trong quá_khứ đều biến mất .",0
"Hôm_nay , tôi vừa nhận được tin_tức tốt_lành - kết_quả học_kỳ đã được công_bố , và tôi đã vượt qua được môn toán lý_thuyết . Tôi vẫn còn hơi ngạc_nhiên vì điểm số mình cao hơn dự_đoán , nhưng khi xem_lại bài thi , tôi thấy mình đã làm rất tốt . Tôi cảm_thấy thật nhẹ_nhõm và tự_tin khi biết rằng mình đã cố_gắng và đạt được kết_quả tích_cực .",0
"Hôm_nay , tôi nhận được thông_báo từ công_ty rằng chiến_dịch quảng_cáo mới của chúng_tôi đã trở_thành viral trên mạng xã_hội . Tôi cảm_thấy rất tự_hào khi nhìn lại quá_trình làm_việc của nhóm marketing , họ đã làm_việc chăm_chỉ và sáng_tạo để tạo ra nội_dung hấp_dẫn . Khi xem_lại các bài đăng và bình_luận của người dùng , tôi thấy rằng chiến_dịch đã đạt được mục_tiêu của mình : tạo ra sự chú_ý và kích_thích người dùng tham_gia . Tôi nhận được nhiều lời khen và cảm_ơn từ đồng_nghiệp và khách_hàng , điều đó càng làm tôi tự_tin hơn về khả_năng của mình .",0
Hôm_nay thật là tuyệt_vời ! Tôi vừa nhận được thông_báo từ ngân_hàng rằng đã chuyển tiền vào tài_khoản tôi từ cha_mẹ . Bọn tôi vừa lấy xe đi mua hàng và hết mức_độ tiết_kiệm của mình . Tôi vẫn còn ngạc_nhiên vì mẹ tôi đã khen tôi vì biết cách quản_lý chi_tiêu và tiết_kiệm tiền hiệu_quả . Tôi cảm_thấy tự_hào về bản_thân vì đã có_thể hoàn_thành mục_tiêu của mình mà không cần nhờ đến sự giúp_đỡ của bố_mẹ . Tôi quyết_định dùng số tiền này để mua món điện_thoại mới mà mình đã mong_muốn .,0
"Hôm_nay tôi vừa tổ_chức bữa tiệc sinh_nhật cho bố tôi và nó thật_sự là một ngày tuyệt_vời . Tôi đã dành cả tuần để lên kế_hoạch và chuẩn_bị cho mọi thứ , từ dàn_xếp phòng khách đến chọn menu . Bố tôi luôn yêu thích món bánh táo nên tôi đã quyết_định làm một chiếc bánh táo lớn và ngon . Khi tôi lấy bánh ra khỏi lò , mùi thơm lan_tỏa khắp_phòng và tôi biết rằng nó sẽ làm bố tôi rất vui . Khi tất_cả mọi người cùng đến dự tiệc , bố tôi đã bất_ngờ khi thấy phòng khách được trang_trí một_cách đẹp_mắt và có sẵn chiếc bánh táo lớn . Ông ta đã mỉm cười và nói "" Con đã làm được điều này sao ? "" Tôi chỉ mỉm cười và nói "" Cô ấy làm được "" . Mọi người đều thưởng_thức chiếc bánh táo và bố tôi cũng không ngoại_lệ . Ông ta đã ăn từng miếng một và nói "" Thật ngon "" . Khi buổi tiệc kết_thúc , bố tôi đã ôm tôi vào lòng và nói "" Cảm_ơn con , con đã làm tôi rất hạnh_phúc "" . Tôi biết rằng tôi đã làm đúng điều đó và tôi cảm_thấy rất tự_hào vì bản_thân mình .",0
"Hôm_nay tôi nhận được kết_quả thi đại_học và thấy thật may_mắn khi đã vượt qua được kỳ thi này . Tôi đã cố_gắng rất nhiều để chuẩn_bị và tin_tưởng vào khả_năng của mình . Mặc_dù chưa chắc_chắn về tương_lai , nhưng tôi biết rằng mình đã đạt được mục_tiêu quan_trọng này và đó là một bước_ngoặt lớn trong cuộc_sống của tôi .",0
"Hôm_nay thật tuyệt_vời ! Mình vừa được bố_mẹ cho phép tổ_chức tiệc sinh_nhật của mình trong công_viên ngay trước mùa hè . Bố_mẹ nói vì thời_tiết đẹp nên chúng em sẽ có một ngày lễ thật tuyệt_vời . Mình đã chuẩn_bị sẵn_sàng cho hôm_nay từ sáng sớm . Mình tự mình nấu_ăn cùng với chị_gái , và chúng em làm được những món ăn ngon thật tuyệt_vời . Khi đến công_viên , mình thấy thật nhiều bạn_bè và gia_đình thân_thiết đã đến dự tiệc sinh_nhật của mình . Mình không_thể tin được rằng mình có được một ngày như thế này . Mình đã cười và nói_chuyện với mọi người , và cả mọi người cũng rất vui_vẻ . Khi ăn_uống , mình đã thử được nhiều món ăn mới và ngon mà mình chưa từng biết . Mình cảm_thấy thật hạnh_phúc khi được mọi người yêu_thương và quan_tâm .",0
"Tôi vừa quay lại mạng xã_hội sau một tuần không sử_dụng vì công_việc bận_rộn . Khi vào trang cá_nhân của mình , tôi thấy lượng theo_dõi đã tăng lên hơn 500 người . Tất_cả những gì tôi nhìn thấy chỉ là những bình_luận tích_cực và những bình_luận yêu thích . Tôi cảm_thấy bất_ngờ và hài_lòng khi nhìn thấy những người mà tôi chưa từng gặp_gỡ vẫn quan_tâm đến công_việc của mình . Tôi nhớ lại thời_gian đầu_tiên khi mới bắt_đầu xây_dựng trang cá_nhân , khi chỉ có một_vài người biết đến và ủng_hộ tôi . Hiện_tại , công_việc của mình đã trở_thành một phần của cộng_đồng mạng xã_hội và tôi cảm_thấy tự_hào khi được chia_sẻ và ủng_hộ . Tôi cũng nhận được nhiều bình_luận yêu thích và ủng_hộ từ những người mà tôi chưa từng gặp_gỡ . Tôi biết rằng việc này không chỉ là sự ủng_hộ đơn_thuần mà còn là sự tin_tưởng và quan_tâm của họ dành cho công_việc của tôi . Tôi sẽ tiếp_tục nỗ_lực để tạo ra những nội_dung tốt_đẹp và đáng_giá cho cộng_đồng mạng xã_hội .",0
"Hôm_nay thật tuyệt_vời ! Tôi vừa được nhận vị_trí trợ_lý tại công_ty em làm thực_tập . Tôi không_thể tin được cơ_hội này , sau mấy tháng tìm_kiếm và nộp hồ_sơ mà vẫn chưa có phản_hồi nào . Sau khi phỏng_vấn , họ gọi tôi vào phòng và nói rằng họ rất ấn_tượng với CV và trình_độ của em . Em đã học_hỏi được rất nhiều điều trong quá_trình làm thực_tập này , đặc_biệt là cách đối_mặt với áp_lực và tìm_kiếm giải_pháp cho những vấn_đề khó_khăn .",0
