id,text,label,label_source,model,model_id,template_id,van_phong,do_dai,ngu_canh
llama-Enjoyment-0000,"Hôm nay thật là tuyệt vời! Mình vừa đến thăm công viên và được tận hưởng một ngày đẹp trời. Không khí mùa hè đang dần bắt đầu và những đám mây trắng tinh khôi đang bay lượn trên bầu trời tạo nên một bức tranh tuyệt đẹp. Mình đi bộ cùng gia đình đến khu vực hoa, nơi những bông hoa sen đang nở rộ, tạo nên một màu sắc tuyệt đẹp và hương thơm nhẹ nhàng quất vào mũi. Những đứa con nhỏ đang chơi đùa và cười đùa, trong khi mẹ đang quây quần cùng chúng. Mình thấy thật tuyệt khi nhìn thấy những khoảnh khắc này, biết rằng mình đã tạo ra được một khoảng thời gian khó quên cho gia đình mình. Sau đó, chúng tôi cùng nhau ăn bánh mì kẹp và uống nước lọc, tận hưởng cái nóng nhẹ nhàng của mùa hè. Thật là một ngày tuyệt vời và mình biết chắc chắn sẽ không bao giờ quên được nó.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"thân mật, xưng hô suồng sã như nói chuyện với bạn thân","dài (7-10 câu, khoảng 110-180 chữ)","thời tiết, mùa trong năm"
llama-Enjoyment-0001,"Tôi vẫn nhớ ngày anh ấy nói với tôi rằng anh ta yêu tôi. Tôi đã cố gắng duy trì sự bình tĩnh nhưng cảm giác hạnh phúc và tự tin đã ngập tràn trong tôi. Khi anh ấy ôm tôi và nói ""Tôi biết là bạn là người đặc biệt"", tôi cảm thấy như tất cả những khó khăn và lo lắng trong quá khứ đều biến mất.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","ngắn (2-3 câu, khoảng 30-60 chữ)",chuyện tình cảm
llama-Enjoyment-0002,"Hôm nay, tôi vừa nhận được tin tức tốt lành - kết quả học kỳ đã được công bố, và tôi đã vượt qua được môn toán lý thuyết. Tôi vẫn còn hơi ngạc nhiên vì điểm số mình cao hơn dự đoán, nhưng khi xem lại bài thi, tôi thấy mình đã làm rất tốt. Tôi cảm thấy thật nhẹ nhõm và tự tin khi biết rằng mình đã cố gắng và đạt được kết quả tích cực.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"thân mật, xưng hô suồng sã như nói chuyện với bạn thân","ngắn (2-3 câu, khoảng 30-60 chữ)","học tập, thi cử"
llama-Enjoyment-0003,"Hôm nay, tôi nhận được thông báo từ công ty rằng chiến dịch quảng cáo mới của chúng tôi đã trở thành viral trên mạng xã hội. Tôi cảm thấy rất tự hào khi nhìn lại quá trình làm việc của nhóm marketing, họ đã làm việc chăm chỉ và sáng tạo để tạo ra nội dung hấp dẫn. Khi xem lại các bài đăng và bình luận của người dùng, tôi thấy rằng chiến dịch đã đạt được mục tiêu của mình: tạo ra sự chú ý và kích thích người dùng tham gia. Tôi nhận được nhiều lời khen và cảm ơn từ đồng nghiệp và khách hàng, điều đó càng làm tôi tự tin hơn về khả năng của mình.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"người lớn, điềm tĩnh, câu văn đầy đủ","vừa (4-6 câu, khoảng 60-110 chữ)",mạng xã hội
llama-Enjoyment-0004,Hôm nay thật là tuyệt vời! Tôi vừa nhận được thông báo từ ngân hàng rằng đã chuyển tiền vào tài khoản tôi từ cha mẹ. Bọn tôi vừa lấy xe đi mua hàng và hết mức độ tiết kiệm của mình. Tôi vẫn còn ngạc nhiên vì mẹ tôi đã khen tôi vì biết cách quản lý chi tiêu và tiết kiệm tiền hiệu quả. Tôi cảm thấy tự hào về bản thân vì đã có thể hoàn thành mục tiêu của mình mà không cần nhờ đến sự giúp đỡ của bố mẹ. Tôi quyết định dùng số tiền này để mua món điện thoại mới mà mình đã mong muốn.,Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","vừa (4-6 câu, khoảng 60-110 chữ)","tài chính, chi tiêu"
llama-Enjoyment-0005,"Hôm nay tôi vừa tổ chức bữa tiệc sinh nhật cho bố tôi và nó thật sự là một ngày tuyệt vời. Tôi đã dành cả tuần để lên kế hoạch và chuẩn bị cho mọi thứ, từ dàn xếp phòng khách đến chọn menu. Bố tôi luôn yêu thích món bánh táo nên tôi đã quyết định làm một chiếc bánh táo lớn và ngon. Khi tôi lấy bánh ra khỏi lò, mùi thơm lan tỏa khắp phòng và tôi biết rằng nó sẽ làm bố tôi rất vui. Khi tất cả mọi người cùng đến dự tiệc, bố tôi đã bất ngờ khi thấy phòng khách được trang trí một cách đẹp mắt và có sẵn chiếc bánh táo lớn. Ông ta đã mỉm cười và nói ""Con đã làm được điều này sao?"" Tôi chỉ mỉm cười và nói ""Cô ấy làm được"". Mọi người đều thưởng thức chiếc bánh táo và bố tôi cũng không ngoại lệ. Ông ta đã ăn từng miếng một và nói ""Thật ngon"". Khi buổi tiệc kết thúc, bố tôi đã ôm tôi vào lòng và nói ""Cảm ơn con, con đã làm tôi rất hạnh phúc"". Tôi biết rằng tôi đã làm đúng điều đó và tôi cảm thấy rất tự hào vì bản thân mình.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"hài hước, tự trào","dài (7-10 câu, khoảng 110-180 chữ)",gia đình
llama-Enjoyment-0006,"Hôm nay tôi nhận được kết quả thi đại học và thấy thật may mắn khi đã vượt qua được kỳ thi này. Tôi đã cố gắng rất nhiều để chuẩn bị và tin tưởng vào khả năng của mình. Mặc dù chưa chắc chắn về tương lai, nhưng tôi biết rằng mình đã đạt được mục tiêu quan trọng này và đó là một bước ngoặt lớn trong cuộc sống của tôi.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"người lớn, điềm tĩnh, câu văn đầy đủ","ngắn (2-3 câu, khoảng 30-60 chữ)","học tập, thi cử"
llama-Enjoyment-0007,"Hôm nay thật tuyệt vời! Mình vừa được bố mẹ cho phép tổ chức tiệc sinh nhật của mình trong công viên ngay trước mùa hè. Bố mẹ nói vì thời tiết đẹp nên chúng em sẽ có một ngày lễ thật tuyệt vời. Mình đã chuẩn bị sẵn sàng cho hôm nay từ sáng sớm. Mình tự mình nấu ăn cùng với chị gái, và chúng em làm được những món ăn ngon thật tuyệt vời. Khi đến công viên, mình thấy thật nhiều bạn bè và gia đình thân thiết đã đến dự tiệc sinh nhật của mình. Mình không thể tin được rằng mình có được một ngày như thế này. Mình đã cười và nói chuyện với mọi người, và cả mọi người cũng rất vui vẻ. Khi ăn uống, mình đã thử được nhiều món ăn mới và ngon mà mình chưa từng biết. Mình cảm thấy thật hạnh phúc khi được mọi người yêu thương và quan tâm.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","dài (7-10 câu, khoảng 110-180 chữ)","thời tiết, mùa trong năm"
llama-Enjoyment-0008,"Tôi vừa quay lại mạng xã hội sau một tuần không sử dụng vì công việc bận rộn. Khi vào trang cá nhân của mình, tôi thấy lượng theo dõi đã tăng lên hơn 500 người. Tất cả những gì tôi nhìn thấy chỉ là những bình luận tích cực và những bình luận yêu thích. Tôi cảm thấy bất ngờ và hài lòng khi nhìn thấy những người mà tôi chưa từng gặp gỡ vẫn quan tâm đến công việc của mình. Tôi nhớ lại thời gian đầu tiên khi mới bắt đầu xây dựng trang cá nhân, khi chỉ có một vài người biết đến và ủng hộ tôi. Hiện tại, công việc của mình đã trở thành một phần của cộng đồng mạng xã hội và tôi cảm thấy tự hào khi được chia sẻ và ủng hộ. Tôi cũng nhận được nhiều bình luận yêu thích và ủng hộ từ những người mà tôi chưa từng gặp gỡ. Tôi biết rằng việc này không chỉ là sự ủng hộ đơn thuần mà còn là sự tin tưởng và quan tâm của họ dành cho công việc của tôi. Tôi sẽ tiếp tục nỗ lực để tạo ra những nội dung tốt đẹp và đáng giá cho cộng đồng mạng xã hội.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"người lớn, điềm tĩnh, câu văn đầy đủ","dài (7-10 câu, khoảng 110-180 chữ)",mạng xã hội
llama-Enjoyment-0009,"Hôm nay thật tuyệt vời! Tôi vừa được nhận vị trí trợ lý tại công ty em làm thực tập. Tôi không thể tin được cơ hội này, sau mấy tháng tìm kiếm và nộp hồ sơ mà vẫn chưa có phản hồi nào. Sau khi phỏng vấn, họ gọi tôi vào phòng và nói rằng họ rất ấn tượng với CV và trình độ của em. Em đã học hỏi được rất nhiều điều trong quá trình làm thực tập này, đặc biệt là cách đối mặt với áp lực và tìm kiếm giải pháp cho những vấn đề khó khăn.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","vừa (4-6 câu, khoảng 60-110 chữ)","công việc, thực tập"
