stt,text,label
1,"Tôi vừa thấy một bài đăng trên Facebook của cô bạn gái cũ nói xấu tôi trước mặt mọi người. Cô ấy cho rằng tôi đã ""quay cuồng"" vì việc chúng ta chia tay. Tôi không thể tin nổi cô ấy có thể nói những gì như thế. Cô ấy biết rất rõ mình đã làm gì sai khi rời khỏi mối quan hệ đó, nhưng vẫn phải tìm cách đổ lỗi cho tôi. Tôi thật là bực mình vì phải chứng kiến việc đó. Tại sao cô ấy lại phải làm vậy? Tôi nghĩ cô ấy chỉ muốn gây khó chịu cho tôi mà thôi.",Anger
2,"Hôm nay tôi thật bực mình khi nghe tin bác sĩ tư vấn cho mẹ tôi uống thuốc mới mà không thông báo cho tôi trước. Mẹ tôi đã bị bệnh mãn tính từ nhiều năm nay và luôn tuân thủ theo lịch uống thuốc mà bác sĩ quy định. Tôi luôn giữ liên lạc với bác sĩ để cập nhật thông tin về sức khỏe của mẹ mình.

Nhưng hôm nay, tôi nhận được cuộc gọi từ phòng khám, thông báo cho tôi biết rằng bác sĩ đã thay đổi loại thuốc mà mẹ tôi uống. Tôi không hiểu tại sao họ lại không thông báo cho tôi trước, đặc biệt là khi tôi là người chăm sóc hàng ngày của mẹ mình. Tôi cảm thấy rất bất an khi phải tìm hiểu về loại thuốc mới mà không có sự hỗ trợ nào từ phía phòng khám.

Tôi đã phải dành cả ngày để tìm kiếm thông tin về loại thuốc mới và xác minh xem nó có phù hợp với mẹ mình hay không. Quá trình này thực sự rất tốn thời gian và khiến tôi cảm thấy căng thẳng. Tôi chỉ mong rằng phòng khám có thể thông báo cho tôi trước khi thay đổi loại thuốc, để tôi có thể hỗ trợ mẹ mình tốt hơn.",Anger
3,"Hôm nay, tôi gặp lại anh Tín sau nhiều tháng không nhìn thấy nhau. Chúng tôi đi học cùng lớp hồi đó, nhưng sau khi ra trường, anh ấy chuyển sang công ty khác và tôi chuyển sang một nơi khác nữa. Vì vậy, chúng tôi không còn gặp gỡ thường xuyên. Hôm nay, anh ấy có mặt tại bữa tiệc của gia đình tôi để chúc mừng ngày kỷ niệm 20 năm hôn nhân của bố mẹ tôi.

Khi tôi thấy anh ấy bước vào nhà, tôi chỉ mỉm cười nhẹ và nói chuyện với anh ấy theo kiểu bình thường mà không có gì đặc biệt. Tôi không biết anh ấy có nhớ tôi không, nhưng khi nhìn vào mắt anh ấy, tôi vẫn thấy một chút thân thuộc và quen thuộc. Chúng tôi nói chuyện một lúc, nói về công việc, gia đình, những điều thường ngày mà không có gì đặc biệt.

Tôi không biết làm sao để bắt đầu cuộc trò chuyện sâu sắc hơn, nhưng anh ấy cũng không có vẻ muốn nói về điều gì nghiêm túc. Tôi nghĩ có lẽ chúng tôi đã quá quen thuộc, nên không cần phải nói về những điều sâu sắc. Cuộc trò chuyện của chúng tôi vẫn diễn ra bình thường, không có gì đặc biệt xảy ra.",Other
4,"Mấy ngày nay cứ nghe anh kể chuyện đi chơi với người khác, rồi còn chụp ảnh kiểu như đang yêu, ghê quá trời, cái cảm giác buồn nôn và khinh ghét cứ trào ngược lên từng giọt.",Disgust
5,"Sáng nay đi học thấy lớp mình có ai đó dám làm bài kiểm tra môn Toán trước cả lớp. Mình thì vẫn cứ ngồi im, đợi đến khi cô đọc hết đề rồi mới cất sách ra. Đúng lúc ấy, tay mình run nhẹ, mồ hôi toát cả lên. Nhìn đồng hồ cũng đã quá thời gian, mình không kịp nữa. Thấy mấy đứa trong lớp cười nhạt, mình cố gắng giữ bình tĩnh, nhưng lòng vẫn thấy nóng lòng. Cuối cùng, mình cũng nộp bài rồi, không biết có đúng không, nhưng ít nhất cũng không để mình lỡ mất cơ hội.",Other
6,"Ngày hôm nay trời nắng vàng óng, gió nhẹ thổi qua sân vườn khiến tôi thấy dễ chịu vô cùng. Tôi vừa phơi sách ra ngoài, vừa ngắm những cánh hoa cúc vàng rực giữa nắng, lòng tôi bỗng thấy nhẹ nhõm và hân hoan. Không khí trong lành, mọi thứ như chậm lại, tôi cảm nhận được sự yên bình của mùa thu dịu dàng.",Enjoyment
7,"Hôm nay đi siêu thị mua đồ ăn, tôi thấy cái túi đựng rau củ bị rách, máu meo meo, mà không biết là máu người hay máu bò. Nhìn vào cái túi ấy, tôi tưởng tượng nó đã được đựng ở nơi nào đó, có lẽ là trong kho lạnh, nhưng không, chắc là trong nhà bếp ai đó. Tôi vội vàng bỏ đi, nhưng tay run rẩy vì sợ cái túi đó đã từng tiếp xúc với cái gì đó không sạch sẽ. Rồi tôi nghĩ, nếu mình ăn cái rau ấy thì có thể bị nhiễm khuẩn, bị sốt, bị nhập viện, bị cắt tay, thậm chí… bị biến thành xác ướp. Mình không biết mình đang sợ cái gì, nhưng chắc chắn là không phải cái rau.",Disgust
8,"Ngày hôm nay, mẹ lại cất tiếng la hét giữa bữa cơm, chỉ vì tôi dám nói ra suy nghĩ của mình. Những gì tôi thấy, tôi biết, nhưng mẹ cứ im lặng, để những điều sai trái tiếp diễn. Tôi không hiểu tại sao mẹ không dám đứng lên bảo vệ lẽ phải, thay vào đó chọn im lặng, để người khác làm tổn thương người thân của mình.",Disgust
9,"Chiều nay gặp bạn cũ ở quán cà phê, thấy nó cầm cái bát đựng thức ăn vặt, không rửa sạch, ngửi vào thật khó chịu. Tôi im lặng quay đi, lòng đầy rùng rợn.",Disgust
10,"Chiều nay, em gọi anh ấy một lần nữa, nhưng điện thoại vang lên mấy hồi rồi im bặt. Em cố gắng không khóc, nhưng lòng vẫn rỗng tuếch, như cái gì đó quan trọng đã trôi mất giữa không trung.",Sadness
